Form Key,Editor Id,Name,School,Type,Cast Type,Target Type,Base Cost,Computed Auto Cost,Charge Time,Arcane Fever,Winner Overwrite,Taught By
00186D:Apocalypse - Magic of Skyrim.esp,WB_Des_Shock4_Spell_ShockNova,Shock Nova,Elementalism,Spell,FireAndForget,Self,93,375,0.5,,Zenderal - Magic Patches.esp,WB_D075_ShockNova_Book
004812:KataPUMBSpellPack.esp,Kata_S_Elementalism_25_ShockNova_1,Shock Nova (Rank I),Elementalism,Spell,FireAndForget,Self,31,13,0.85,,EGO - KataPUMB Spell Package.esp,Kata_B_Elementalism_25_ShockNova_A
00B36D:KataPUMB_SpellPackage.esp,Kata_Spell_Nova_ShockNova_I,Shock Nova (Rank I),Elementalism,Spell,FireAndForget,Self,10,1,0.5,,KataPUMB_SpellPackage.esp,Kata_SpellBook_Nova_ShockNova_I
004811:KataPUMBSpellPack.esp,Kata_S_Elementalism_50_ShockNova_2,Shock Nova (Rank II),Elementalism,Spell,FireAndForget,Self,44,20,0.85,,EGO - KataPUMB Spell Package.esp,Kata_B_Elementalism_50_ShockNova_B
00B36F:KataPUMB_SpellPackage.esp,Kata_Spell_Nova_ShockNova_II,Shock Nova (Rank II),Elementalism,Spell,FireAndForget,Self,25,2,0.5,,KataPUMB_SpellPackage.esp,Kata_SpellBook_Nova_ShockNova_II
004814:KataPUMBSpellPack.esp,Kata_S_Elementalism_75_ShockNova_3,Shock Nova (Rank III),Elementalism,Spell,FireAndForget,Self,59,29,0.85,,EGO - KataPUMB Spell Package.esp,Kata_B_Elementalism_75_ShockNova_C
00B371:KataPUMB_SpellPackage.esp,Kata_Spell_Nova_ShockNova_III,Shock Nova (Rank III),Elementalism,Spell,FireAndForget,Self,43,3,0.5,,KataPUMB_SpellPackage.esp,Kata_SpellBook_Nova_ShockNova_III
004816:KataPUMBSpellPack.esp,Kata_S_Elementalism_99_ShockNova_4,Shock Nova (Rank IV),Elementalism,Spell,FireAndForget,Self,79,40,0.85,,EGO - KataPUMB Spell Package.esp,Kata_B_Elementalism_99_ShockNova_D
00B373:KataPUMB_SpellPackage.esp,Kata_Spell_Nova_ShockNova_IV,Shock Nova (Rank IV),Elementalism,Spell,FireAndForget,Self,66,5,0.5,,KataPUMB_SpellPackage.esp,Kata_SpellBook_Nova_ShockNova_IV
027F2E:Apocalypse - Magic of Skyrim.esp,WB_Des_Frost4_Spell_SleetStorm_NPC,Sleet Storm,Elementalism,Spell,Concentration,Aimed,37,117,0,,Zenderal - Magic Patches.esp,WB_D075_SleetStorm_Book
083A22:Apocalypse - Magic of Skyrim.esp,WB_Des_Shock5_Spell_StaticDome,Static Dome,Elementalism,Spell,FireAndForget,Aimed,119,689,0,,Zenderal - Magic Patches.esp,WB_D100_StaticDome_Book
0142DB:KataPUMBSpellPack.esp,Kata_S_Elementalism_00_StaticTouch_1,Static Touch (Rank I),Elementalism,Spell,FireAndForget,Aimed,16,27,0.5,,EGO - KataPUMB Spell Package.esp,Kata_B_Elementalism_00_StaticTouch
0142E1:KataPUMBSpellPack.esp,Kata_S_Elementalism_25_StaticTouch_1,Static Touch (Rank II),Elementalism,Spell,FireAndForget,Aimed,26,48,0.5,,EGO - KataPUMB Spell Package.esp,Kata_B_Elementalism_25_StaticTouch
0142E2:KataPUMBSpellPack.esp,Kata_S_Elementalism_50_StaticTouch_1,Static Touch (Rank III),Elementalism,Spell,FireAndForget,Aimed,37,72,0.5,,EGO - KataPUMB Spell Package.esp,Kata_B_Elementalism_50_StaticTouch
0142E3:KataPUMBSpellPack.esp,Kata_S_Elementalism_75_StaticTouch_4,Static Touch (Rank IV),Elementalism,Spell,FireAndForget,Aimed,54,115,0.5,,EGO - KataPUMB Spell Package.esp,Kata_B_Elementalism_75_StaticTouch
0142E4:KataPUMBSpellPack.esp,Kata_S_Elementalism_99_StaticTouch_5,Static Touch (Rank V),Elementalism,Spell,FireAndForget,Aimed,72,170,0.5,,EGO - KataPUMB Spell Package.esp,Kata_B_Elementalism_99_StaticTouch
07C83B:Apocalypse - Magic of Skyrim.esp,WB_Des_Shock2_Spell_Thundercrack_NPC,Thundercrack,Elementalism,Spell,FireAndForget,Aimed,28,43,0.5,,Zenderal - Magic Patches.esp,WB_D025_Thundercrack_Book
02D5DB:Apocalypse - Magic of Skyrim.esp,WB_Des_Frost5_Spell_Twister,Twister,Elementalism,Spell,FireAndForget,Aimed,115,665,0,,Zenderal - Magic Patches.esp,WB_D100_Twister_Book
04733C:Apocalypse - Magic of Skyrim.esp,WB_Des_Fire5_Spell_Volcano,Volcano,Elementalism,Spell,FireAndForget,TargetLocation,110,636,0,,Zenderal - Magic Patches.esp,WB_D100_Volcano_Book
14479C:Skyrim.esm,_28E_SpellWallOfFlames,Wall of Flames,Elementalism,Spell,Concentration,Aimed,47,309,0.85,,Enderal SE - Gameplay Overhaul.esp,_28E_SpellBookWallOfFlames
14479D:Skyrim.esm,_28E_SpellWallOfFrost,Wall of Frost,Elementalism,Spell,Concentration,Aimed,42,270,0.8,,Enderal SE - Gameplay Overhaul.esp,_28E_SpellBookWallOfFrost
14479E:Skyrim.esm,_28E_SpellWallOfLightning,Wall of LIghtning,Elementalism,Spell,Concentration,Aimed,61,484,0.9,,Enderal SE - Gameplay Overhaul.esp,_30E_SpellBookWallOfLightning
119BD3:Skyrim.esm,XionSpellCloakIce,Winter Skin,Elementalism,Spell,FireAndForget,Self,108,386,0.75,,Enderal SE - Gameplay Overhaul.esp,_30E_SpellBookCloakIce
02CD7E:Apocalypse - Magic of Skyrim.esp,WB_Con_Curse2_Spell_AtronachMark,Atronach Mark,Entropy,Spell,FireAndForget,Aimed,48,75,0.5,,Zenderal - Magic Patches.esp,WB_C025_AtronachMark_Book
088694:Apocalypse - Magic of Skyrim.esp,WB_Con_Heal1_Spell_AzureReconstruction,Azure Reconstruction,Entropy,Spell,Concentration,TargetActor,5,3,0.5,,Zenderal - Magic Patches.esp,WB_C000_AzureReconstruction_Book
16162D:Apocalypse - Magic of Skyrim.esp,WB_Con_Animal1_Spell_BagOfRats,Bag of Rats,Entropy,Spell,FireAndForget,Self,31,57,0.5,,Zenderal - Magic Patches.esp,WB_C000_BagOfRats_Book
0083E9:Enderal SE - Gameplay Overhaul.esp,XionSpellBanish,Banish (Rank I),Entropy,Spell,FireAndForget,Aimed,24,37674,0.5,,Enderal SE - Gameplay Overhaul.esp,XionBanish1
0083ED:Enderal SE - Gameplay Overhaul.esp,XionSpellBanish2,Banish (Rank II),Entropy,Spell,FireAndForget,Aimed,35,37674,0.5,,Enderal SE - Gameplay Overhaul.esp,XionBanish2
0083EE:Enderal SE - Gameplay Overhaul.esp,XionSpellBanish3,Banish (Rank III),Entropy,Spell,FireAndForget,Aimed,50,37674,0.5,,Enderal SE - Gameplay Overhaul.esp,XionBanish3
092B91:Apocalypse - Magic of Skyrim.esp,WB_Con_Banish5_Spell_BanishLiving,Banish Living,Entropy,Spell,FireAndForget,TargetActor,271,1573,5.5,,Zenderal - Magic Patches.esp,WB_C100_BanishLiving_Book
02F29E:Enderal - Forgotten Stories.esm,_25E_FS_BoneSpirit,Chaos Nova (Rank I),Entropy,Spell,FireAndForget,Aimed,48,62,0.85,,Enderal SE - Gameplay Overhaul.esp,_25E_FS_Spell_BoneSpirit
02F29F:Enderal - Forgotten Stories.esm,_40E_FS_BoneSpirit,Chaos Nova (Rank II),Entropy,Spell,FireAndForget,Aimed,68,96,0.85,,Enderal SE - Gameplay Overhaul.esp,_40E_FS_Spell_BoneSpirit
02F2A0:Enderal - Forgotten Stories.esm,_54E_FS_BoneSpirit,Chaos Nova (Rank III),Entropy,Spell,FireAndForget,Aimed,90,138,0.85,,Enderal SE - Gameplay Overhaul.esp,_50E_FS_Spell_BoneSpirit
017A8E:Apocalypse - Magic of Skyrim.esp,WB_Con_Ghost4_Spell_ConjureAvengingWraith,Conjure Avenging Wraith,Entropy,Spell,FireAndForget,TargetLocation,87,351,0.5,,Zenderal - Magic Patches.esp,WB_C075_ConjureAvengingWraith_Book
08868C:Apocalypse - Magic of Skyrim.esp,WB_Con_Human5_Spell_ConjureBattlemage,Conjure Battlemage,Entropy,Spell,FireAndForget,TargetLocation,207,1201,3,,Zenderal - Magic Patches.esp,WB_C100_ConjureBattlemage_Book
04734D:Apocalypse - Magic of Skyrim.esp,WB_Con_Spirit5_Spell_ConjureBearTotem,Conjure Bear Totem,Entropy,Spell,FireAndForget,TargetLocation,256,1484,0,,Zenderal - Magic Patches.esp,WB_C100_ConjureBearTotem_Book
027144:Apocalypse - Magic of Skyrim.esp,WB_Con_Spirit2_Spell_ConjureCatTotem,Conjure Cat Totem,Entropy,Spell,FireAndForget,TargetLocation,104,161,0,,Zenderal - Magic Patches.esp,WB_C025_ConjureCatTotem_Book
123E5B:Apocalypse - Magic of Skyrim.esp,WB_Con_Human5_Spell_ConjureCraftlord,Conjure Craftlord,Entropy,Spell,FireAndForget,TargetLocation,228,1321,3,,Zenderal - Magic Patches.esp,WB_C100_ConjureCraftlord_Book
037E17:Apocalypse - Magic of Skyrim.esp,WB_Con_Undead2_Spell_ConjureDeadeyeCaptain,Conjure Deadeye Captain,Entropy,Spell,FireAndForget,TargetLocation,111,172,0.5,,Zenderal - Magic Patches.esp,WB_C025_ConjureDeadeyeCaptain_Book
0128F7:Apocalypse - Magic of Skyrim.esp,WB_Con_Dremora5_Spell_ConjureDremoraAssassin_NPC,Conjure Dremora Assassin,Entropy,Spell,FireAndForget,TargetLocation,207,1201,0,,Zenderal - Magic Patches.esp,WB_C100_ConjureDremoraAssassin_Book
0128DF:Apocalypse - Magic of Skyrim.esp,WB_Con_Dremora4_Spell_ConjureDremoraChampion_NPC,Conjure Dremora Champion,Entropy,Spell,FireAndForget,TargetLocation,90,366,0.5,,Zenderal - Magic Patches.esp,WB_C075_ConjureDremoraChampion_Book
012359:Apocalypse - Magic of Skyrim.esp,WB_Con_Dremora2_Spell_ConjureDremoraChurl_NPC,Conjure Dremora Churl,Entropy,Spell,FireAndForget,TargetLocation,101,157,0.5,,Zenderal - Magic Patches.esp,WB_C025_ConjureDremoraChurl_Book
0133D6:Apocalypse - Magic of Skyrim.esp,WB_Con_Dremora4_Spell_ConjureDremoraHonorGuard_NPC,Conjure Dremora Honor Guard,Entropy,Spell,FireAndForget,TargetLocation,94,380,0.5,,Zenderal - Magic Patches.esp,WB_C075_ConjureDremoraHonorGuard_Book
0C64B1:Apocalypse - Magic of Skyrim.esp,WB_Con_Dremora4_Spell_ConjureDremoraMentor,Conjure Dremora Mentor,Entropy,Spell,FireAndForget,TargetLocation,155,627,3,,Zenderal - Magic Patches.esp,WB_C075_ConjureDremoraMentor_Book
012364:Apocalypse - Magic of Skyrim.esp,WB_Con_Dremora3_Spell_ConjureDremoraPitFighter_NPC,Conjure Dremora Pit Fighter,Entropy,Spell,FireAndForget,TargetLocation,100,229,0,,Zenderal - Magic Patches.esp,WB_C050_ConjureDremoraPitFighter_Book
0128E8:Apocalypse - Magic of Skyrim.esp,WB_Con_Dremora4_Spell_ConjureHerne_NPC,Conjure Herne,Entropy,Spell,FireAndForget,TargetLocation,97,394,0.5,,Zenderal - Magic Patches.esp,WB_C075_ConjureHerne_Book
100032:Apocalypse - Magic of Skyrim.esp,WB_Con_Daedric5_Spell_ConjureKyrkrim,Conjure Kyrkrim,Entropy,Spell,FireAndForget,TargetLocation,124,720,0.5,,Zenderal - Magic Patches.esp,WB_C100_ConjureKyrkrim_Book
01236A:Apocalypse - Magic of Skyrim.esp,WB_Con_Undead3_Spell_ConjureLich,Conjure Lich,Entropy,Spell,FireAndForget,TargetLocation,107,244,0.5,,Zenderal - Magic Patches.esp,WB_C050_ConjureLich_Book
019B2D:Apocalypse - Magic of Skyrim.esp,WB_Con_Dremora5_Spell_ConjureLordOfBindings_NPC,Conjure Lord of Bindings,Entropy,Spell,FireAndForget,TargetLocation,217,1261,3,,Zenderal - Magic Patches.esp,WB_C100_ConjureLordOfBindings_Book
0128FA:Apocalypse - Magic of Skyrim.esp,WB_Con_Undead5_Spell_ConjureNetherLich,Conjure Nether Lich,Entropy,Spell,FireAndForget,TargetLocation,248,1441,0.5,,Zenderal - Magic Patches.esp,WB_C100_ConjureNetherLich_Book
08FDED:Apocalypse - Magic of Skyrim.esp,WB_Con_Dremora5_Spell_ConjureWeepingDaedra_NPC,Conjure Weeping Daedra,Entropy,Spell,FireAndForget,TargetLocation,101,584,2,,Zenderal - Magic Patches.esp,WB_C100_ConjureWeepingDaedra_Book
012370:Apocalypse - Magic of Skyrim.esp,WB_Con_Xivilai4_Spell_ConjureXivilaiLord_NPC,Conjure Xivilai Lord,Entropy,Spell,FireAndForget,TargetLocation,85,344,0,,Zenderal - Magic Patches.esp,WB_C075_ConjureXivilaiLord_Book
1228A8:Apocalypse - Magic of Skyrim.esp,WB_Con_Xivilai3_Spell_ConjureXivilaiSorcerer_NPC,Conjure Xivilai Sorcerer,Entropy,Spell,FireAndForget,TargetLocation,100,229,0.5,,Zenderal - Magic Patches.esp,WB_C050_ConjureXivilaiSorcerer_Book
016F92:Apocalypse - Magic of Skyrim.esp,WB_Con_Buff1_Spell_ConsumingPower,Consuming Power,Entropy,Spell,FireAndForget,Aimed,55,103,0.5,,Zenderal - Magic Patches.esp,WB_C000_ConsumingPower_Book
1212EB:Apocalypse - Magic of Skyrim.esp,WB_Con_Corpse3_Spell_CorpseExplosion,Corpse Explosion,Entropy,Spell,FireAndForget,Aimed,76,175,0.5,,Zenderal - Magic Patches.esp,WB_C050_CorpseExplosion_Book
00F4F3:KataPUMB_SpellPackage.esp,Kata_Spell_Curse_I,Curse (Rank I),Entropy,Spell,FireAndForget,Aimed,45,145,0.5,,KataPUMB_SpellPackage.esp,Kata_Spellbook_Curse_I
00F4F4:KataPUMB_SpellPackage.esp,Kata_Spell_Curse_II,Curse (Rank II),Entropy,Spell,FireAndForget,Aimed,105,586,0.5,,KataPUMB_SpellPackage.esp,Kata_Spellbook_Curse_II
00F4F6:KataPUMB_SpellPackage.esp,Kata_Spell_Curse_III,Curse (Rank III),Entropy,Spell,FireAndForget,Aimed,220,5471,0.5,,KataPUMB_SpellPackage.esp,Kata_Spellbook_Curse_III
002E72:KataPUMBSpellPack.esp,Kata_S_Entropy_75_Curse_4,Curse (Rank IV),Entropy,Spell,FireAndForget,Aimed,44,1820,0.5,,KataPUMBSpellPack.esp,Kata_B_Entropy_75_Curse_4
002E6D:KataPUMBSpellPack.esp,Kata_S_Entropy_00_Curse_1,Curse of Fragility (Rank I),Entropy,Spell,FireAndForget,Aimed,17,3237,0.5,,EGO - KataPUMB Spell Package.esp,Kata_B_Entropy_00_Curse_1_A
002E6E:KataPUMBSpellPack.esp,Kata_S_Entropy_25_Curse_2,Curse of Fragility (Rank II),Entropy,Spell,FireAndForget,Aimed,28,4413,0.5,,EGO - KataPUMB Spell Package.esp,Kata_B_Entropy_25_Curse_B
002E70:KataPUMBSpellPack.esp,Kata_S_Entropy_50_Curse_3,Curse of Fragility (Rank III),Entropy,Spell,FireAndForget,Aimed,40,5618,0.5,,EGO - KataPUMB Spell Package.esp,Kata_B_Entropy_50_Curse_C
002E74:KataPUMBSpellPack.esp,Kata_S_Entropy_75_Curse_5,Curse of Fragility (Rank IV),Entropy,Spell,FireAndForget,Aimed,53,6848,0.5,,EGO - KataPUMB Spell Package.esp,Kata_B_Entropy_75_Curse_5_C
002E76:KataPUMBSpellPack.esp,Kata_S_Entropy_99_Curse_6,Curse of Fragility (Rank V),Entropy,Spell,FireAndForget,Aimed,67,8097,0.5,,EGO - KataPUMB Spell Package.esp,Kata_B_Entropy_99_Curse_6_D; Kata_B_Entropy_99_DeathBeam_6
002E3D:KataPUMBSpellPack.esp,Kata_S_Entropy_00_DeathBeam_1,Death Beam (Rank I),Entropy,Spell,Concentration,Aimed,6,0,0.9,,KataPUMBSpellPack.esp,Kata_B_Entropy_00_DeathBeam_1
003CA2:KataPUMB_SpellPackage.esp,Kata_Spell_DeathBeam_I,Death Beam (Rank I),Entropy,Spell,Concentration,Aimed,4,6,0.4,,KataPUMB_SpellPackage.esp,Kata_SpellBook_DeathBeam_I
002E3E:KataPUMBSpellPack.esp,Kata_S_Entropy_25_DeathBeam_2,Death Beam (Rank II),Entropy,Spell,Concentration,Aimed,12,0,0.5,,KataPUMBSpellPack.esp,Kata_B_Entropy_25_DeathBeam
003CA4:KataPUMB_SpellPackage.esp,Kata_Spell_DeathBeam_II,Death Beam (Rank II),Entropy,Spell,Concentration,Aimed,8,12,0.3,,KataPUMB_SpellPackage.esp,Kata_SpellBook_DeathBeam_II
002E40:KataPUMBSpellPack.esp,Kata_S_Entropy_50_DeathBeam_3,Death Beam (Rank III),Entropy,Spell,Concentration,Aimed,19,0,0.5,,KataPUMBSpellPack.esp,Kata_B_Entropy_50_DeathBeam
003CA5:KataPUMB_SpellPackage.esp,Kata_Spell_DeathBeam_III,Death Beam (Rank III),Entropy,Spell,Concentration,Aimed,12,25,0.3,,KataPUMB_SpellPackage.esp,Kata_SpellBook_DeathBeam_III
002E42:KataPUMBSpellPack.esp,Kata_S_Entropy_75_DeathBeam_4,Death Beam (Rank IV),Entropy,Spell,Concentration,Aimed,29,0,0.5,,KataPUMBSpellPack.esp,Kata_B_Entropy_75_DeathBeam_4
003CA7:KataPUMB_SpellPackage.esp,Kata_Spell_DeathBeam_IV,Death Beam (Rank IV),Entropy,Spell,Concentration,Aimed,22,42,0.3,,KataPUMB_SpellPackage.esp,Kata_SpellBook_DeathBeam_IV
002E44:KataPUMBSpellPack.esp,Kata_S_Entropy_75_DeathBeam_5,Death Beam (Rank V),Entropy,Spell,Concentration,Aimed,38,0,0.5,,KataPUMBSpellPack.esp,Kata_B_Entropy_75_DeathBeam_5
003CA8:KataPUMB_SpellPackage.esp,Kata_Spell_DeathBeam_V,Death Beam (Rank V),Entropy,Spell,Concentration,Aimed,30,66,0.3,,KataPUMB_SpellPackage.esp,Kata_SpellBook_DeathBeam_V
003CA9:KataPUMB_SpellPackage.esp,Kata_Spell_DeathBeam_VI,Death Beam (Rank VI),Entropy,Spell,Concentration,Aimed,48,117,0.3,,KataPUMB_SpellPackage.esp,Kata_SpellBook_DeathBeam_VI
01550F:Skyrim.esm,_01E_EldritchBreath,Death Breath (Rank I),Entropy,Spell,Concentration,Aimed,7,10,0.9,,Enderal SE - Gameplay Overhaul.esp,_01E_SpellBookDeathBreath
11C389:Skyrim.esm,_10E_EldritchBreath,Death Breath (Rank II),Entropy,Spell,Concentration,Aimed,16,26,0.9,,Enderal SE - Gameplay Overhaul.esp,_10E_SpellBookDeathBreath
13798E:Skyrim.esm,_20E_EldritchBreath,Death Breath (Rank III),Entropy,Spell,Concentration,Aimed,28,50,0.9,,Enderal SE - Gameplay Overhaul.esp,_20E_SpellBookDeathBreath
11C38A:Skyrim.esm,_05E_EldritchBolt,Death Spark (Rank I),Entropy,Spell,FireAndForget,Aimed,15,36,0.7,,Enderal SE - Gameplay Overhaul.esp,_05E_SpellBookDeathSpark
11C38B:Skyrim.esm,_10E_EldritchBolt,Death Spark (Rank II),Entropy,Spell,FireAndForget,Aimed,22,56,0.7,,Enderal SE - Gameplay Overhaul.esp,_10E_SpellBookDeathSpark
1379DA:Skyrim.esm,_20E_EldritchBolt,Death Spark (Rank III),Entropy,Spell,FireAndForget,Aimed,30,80,0.7,,Enderal SE - Gameplay Overhaul.esp,_20E_SpellBookDeathSpark
1379DB:Skyrim.esm,_30E_EldritchBolt,Death Spark (Rank IV),Entropy,Spell,FireAndForget,Aimed,39,109,0.7,,Enderal SE - Gameplay Overhaul.esp,_30E_SpellBookDeathSpark
1379DD:Skyrim.esm,_40E_EldritchBolt,Death Spark (Rank V),Entropy,Spell,FireAndForget,Aimed,49,143,0.7,,Enderal SE - Gameplay Overhaul.esp,_40E_SpellBookDeathSpark
1379DC:Skyrim.esm,_49E_EldritchBolt,Death Spark (Rank VI),Entropy,Spell,FireAndForget,Aimed,60,184,0.7,,Enderal SE - Gameplay Overhaul.esp,_48E_SpellBookDeathSpark
1379E5:Skyrim.esm,_60E_XionSpellDeathStorm,Deathstorm (Mystical),Entropy,Spell,Concentration,Aimed,94,282,2,,Enderal SE - Gameplay Overhaul.esp,_50E_SpellBookDeathStorm
003B2C:KataPUMBSpellPack.esp,Kata_S_Entropy_50_EntropicMantle_1,Entropic Aura (Rank I),Entropy,Spell,FireAndForget,Self,105,3566,0.5,,EGO - KataPUMB Spell Package.esp,Kata_B_Entropy_50_EntropicMantle_B
003B2D:KataPUMBSpellPack.esp,Kata_S_Entropy_75_EntropicMantle_2,Entropic Aura (Rank II),Entropy,Spell,FireAndForget,Self,140,5571,0.5,,EGO - KataPUMB Spell Package.esp,Kata_B_Entropy_75_EntropicMantle_C
003B2F:KataPUMBSpellPack.esp,Kata_S_Entropy_99_EntropicMantle_3,Entropic Aura (Rank III),Entropy,Spell,FireAndForget,Self,185,7645,0.5,,EGO - KataPUMB Spell Package.esp,Kata_B_Entropy_99_EntropicMantle_D
01A0A4:Apocalypse - Magic of Skyrim.esp,WB_Con_Buff3_Spell_DaedricCrescent,Entropic Crescent,Entropy,Spell,FireAndForget,TargetActor,121,276,0.5,,Zenderal - Magic Patches.esp,WB_C050_DaedricCrescent_Book
1A1B79:Apocalypse - Magic of Skyrim.esp,WB_Con_Summon3_Spell_Gank,Gank,Entropy,Spell,FireAndForget,Aimed,109,250,0.5,,Zenderal - Magic Patches.esp,WB_C050_Gank_Book
02F283:Enderal - Forgotten Stories.esm,_25E_FS_CorpseExplosion,Grave Curse (Rank I),Entropy,Spell,FireAndForget,Aimed,48,20,0.5,,Enderal SE - Gameplay Overhaul.esp,_25E_FS_Spell_CorpseExplosion
02F284:Enderal - Forgotten Stories.esm,_35E_FS_CorpseExplosion,Grave Curse (Rank II),Entropy,Spell,FireAndForget,Aimed,66,144,0.5,,Enderal SE - Gameplay Overhaul.esp,_35E_FS_Spell_CorpseExplosion
02F285:Enderal - Forgotten Stories.esm,_50E_FS_CorpseExplosion,Grave Curse (Rank III),Entropy,Spell,FireAndForget,Aimed,85,395,0.5,,Enderal SE - Gameplay Overhaul.esp,_50E_FS_Spell_CorpseExplosion
161621:Apocalypse - Magic of Skyrim.esp,WB_Con_Curse4_Spell_MonarchMark,Monarch Mark,Entropy,Spell,FireAndForget,Aimed,74,300,0.5,,Zenderal - Magic Patches.esp,WB_C075_MonarchMark_Book
016F95:Apocalypse - Magic of Skyrim.esp,WB_Con_Corpse5_Spell_Necrowitch,Necrowitch,Entropy,Spell,FireAndForget,Self,117,677,5,,Zenderal - Magic Patches.esp,WB_C100_Necrowitch_Book
018AE7:Apocalypse - Magic of Skyrim.esp,WB_Con_Ghost4_Spell_OathboundGuardian,Oathbound Guardian,Entropy,Spell,FireAndForget,TargetActor,104,423,0.5,,Zenderal - Magic Patches.esp,WB_C075_OathboundGuardian_Book
01857E:Apocalypse - Magic of Skyrim.esp,WB_Con_Buff2_Spell_PowerOfTheMaster,Power of the Master,Entropy,Spell,FireAndForget,Self,119,185,0.5,,Zenderal - Magic Patches.esp,WB_C025_PowerOfTheMaster_Book
1377AA:Skyrim.esm,_10E_Wiederbeleben,Revive (Rank I),Entropy,Spell,FireAndForget,Aimed,49,261,1.25,,Enderal SE - Gameplay Overhaul.esp,_10E_SpellBookRevive
1377AB:Skyrim.esm,_17E_Wiederbeleben,Revive (Rank II),Entropy,Spell,FireAndForget,Aimed,74,310,1.25,,Enderal SE - Gameplay Overhaul.esp,_17E_SpellBookRevive
1377AC:Skyrim.esm,_27E_Wiederbeleben,Revive (Rank III),Entropy,Spell,FireAndForget,Aimed,102,353,1.25,,Enderal SE - Gameplay Overhaul.esp,_27E_SpellBookRevive
1377AD:Skyrim.esm,_37E_Wiederbeleben,Revive (Rank IV),Entropy,Spell,FireAndForget,Aimed,135,554,1.25,,Enderal SE - Gameplay Overhaul.esp,_37E_SpellBookRevive
1377AE:Skyrim.esm,_47E_Wiederbeleben,Revive (Rank V),Entropy,Spell,FireAndForget,Aimed,176,768,1.25,,Enderal SE - Gameplay Overhaul.esp,_47E_SpellBookRevive
00717D:KataPUMB_SpellPackage.esp,Kata_Spell_CowlOfDeath,Ritual of the Damned,Entropy,Spell,FireAndForget,Self,200,3,3,,KataPUMB_SpellPackage.esp,Kata_SpellBook_RitualOfTheDamned
003B14:KataPUMBSpellPack.esp,Kata_S_Entropy_99_RitualOfTheDamned,Ritual of the damned,Entropy,Spell,FireAndForget,Self,150,0,3,,KataPUMBSpellPack.esp,Kata_B_Entropy_99_RitualOfTheDamned
161619:Apocalypse - Magic of Skyrim.esp,WB_Con_Dremora4_Spell_SixDemonBag,Six Demon Bag,Entropy,Spell,FireAndForget,Self,97,394,0,,Zenderal - Magic Patches.esp,WB_C075_SixDemonBag_Book
140B03:Apocalypse - Magic of Skyrim.esp,WB_Con_SoulTrap2_Spell_SoulCloak,Soul Cloak,Entropy,Spell,FireAndForget,Self,91,141,0.5,,Zenderal - Magic Patches.esp,WB_C025_SoulCloak_Book
003B17:KataPUMBSpellPack.esp,Kata_S_Entropy_75_SoulCloak_1,Soul Cloak (Rank I),Entropy,Spell,FireAndForget,Self,88,1065,0.5,,KataPUMBSpellPack.esp,Kata_B_Entropy_75_SoulCloak
003B1B:KataPUMBSpellPack.esp,Kata_S_Entropy_99_SoulCloak_2,Soul Cloak (Rank II),Entropy,Spell,FireAndForget,Self,180,20948,3,,KataPUMBSpellPack.esp,Kata_B_Entropy_99_SoulCloak
1377A8:Skyrim.esm,_15E_Seelenfalle,Soul Trap (Rang II),Entropy,Spell,FireAndForget,TargetActor,63,50,0.3,,Enderal SE - Gameplay Overhaul.esp,_15E_SpellBookSoulTrap
067295:Skyrim.esm,_05E_Seelenfalle,Soul Trap (Rank I),Entropy,Spell,FireAndForget,TargetActor,33,8,0.5,,Enderal SE - Gameplay Overhaul.esp,_05E_SpellBookSoulTrap
11C383:Skyrim.esm,_07E_SpellSummonSkeleton,Summon Ancestor,Entropy,Spell,FireAndForget,TargetLocation,84,147,3,,Enderal SE - Gameplay Overhaul.esp,_07E_SpellBookSummonSkeleton
01C90F:Enderal - Forgotten Stories.esm,_00E_FS_SummonSpiritPigletSP,Summon Cuthbert,Entropy,Spell,FireAndForget,TargetLocation,75,147,3,,Enderal SE - Gameplay Overhaul.esp,_25E_SpellBookSummonGhostPiglet
013630:KataPUMBSpellPack.esp,Kata_S_Entropy_00_Summon_Demon_1,Summon Demon (Rank I): Demon Spawn,Entropy,Spell,FireAndForget,TargetLocation,75,360,0.5,,KataPUMBSpellPack.esp,Kata_B_Entropy_00_Summon_Demon_1
013631:KataPUMBSpellPack.esp,Kata_S_Entropy_25_Summon_Demon_2,Summon Demon (Rank II): Bailwoga,Entropy,Spell,FireAndForget,TargetLocation,88,360,0.5,,KataPUMBSpellPack.esp,Kata_B_Entropy_25_Summon_Demon_2
013633:KataPUMBSpellPack.esp,Kata_S_Entropy_50_Summon_Demon_3,Summon Demon (Rank III): Krill,Entropy,Spell,FireAndForget,TargetLocation,96,360,0.5,,KataPUMBSpellPack.esp,Kata_B_Entropy_50_Summon_Demon_3
013635:KataPUMBSpellPack.esp,Kata_S_Entropy_75_Summon_Demon_4,Summon Demon (Rank IV): Abyssal Horror,Entropy,Spell,FireAndForget,TargetLocation,118,360,0.5,,KataPUMBSpellPack.esp,Kata_B_Entropy_75_Summon_Demon_4
013637:KataPUMBSpellPack.esp,Kata_S_Entropy_99_Summon_Demon_5,Summon Demon (Rank V): Shoggoth,Entropy,Spell,FireAndForget,TargetLocation,168,360,0.5,,KataPUMBSpellPack.esp,Kata_B_Entropy_99_Summon_Demon_5
