Form Key,Editor Id,Name,Cast Type,Target Type,Base Cost,Computed Auto Cost,Charge Time,Arcane Fever,Value,Weight,Winner Overwrite
1A7920:Apocalypse - Magic of Skyrim.esp,WB_I050_SleepingDogs_Scroll,Scroll of Sleeping Dogs,ConstantEffect,Aimed,290,290,0.5,,60,0.5,Apocalypse - Magic of Skyrim.esp
03BA27:Apocalypse - Magic of Skyrim.esp,WB_C025_SoulCloak_Scroll,Scroll of Soul Cloak,Scroll,Self,141,141,0.5,,30,0.5,Apocalypse - Magic of Skyrim.esp
01F8B1:Skyrim.esm,01E_RolleSeelenfalle,Scroll of Soul Trap,Scroll,TargetActor,30,32,0.5,,13,0.2,Enderal SE - Gameplay Overhaul.esp
0896E0:Apocalypse - Magic of Skyrim.esp,WB_I100_SpectralWarband_Scroll,Scroll of Spectral Warband,ConstantEffect,Self,1256,1256,0,,250,0.5,Apocalypse - Magic of Skyrim.esp
0896DA:Apocalypse - Magic of Skyrim.esp,WB_D100_StaticDome_Scroll,Scroll of Static Dome,Scroll,Aimed,689,689,3,,250,0.5,Apocalypse - Magic of Skyrim.esp
03BA3B:Apocalypse - Magic of Skyrim.esp,WB_C050_SummoningRune_Scroll,Scroll of Summoning Rune,Scroll,TargetLocation,198,198,0,,60,0.5,Apocalypse - Magic of Skyrim.esp
047E27:Apocalypse - Magic of Skyrim.esp,WB_A100_TalonsOfNirn_Scroll,Scroll of Talons of Vyn,Scroll,Self,621,621,3.8,,250,0.5,Apocalypse - Magic of Skyrim.esp
03A9C7:Apocalypse - Magic of Skyrim.esp,WB_A100_MalvisersGauntlet_Scroll,Scroll of Telekinetic Gauntlet,Scroll,Aimed,591,591,2.5,,250,0.5,Apocalypse - Magic of Skyrim.esp
0388FC:Apocalypse - Magic of Skyrim.esp,WB_I025_Thoughtsteal_Scroll,Scroll of Thoughtsteal,ConstantEffect,Aimed,100,100,0.5,,30,0.5,Apocalypse - Magic of Skyrim.esp
03A9CD:Apocalypse - Magic of Skyrim.esp,WB_A100_ThrummingStone_Scroll,Scroll of Thrumming Stone,Scroll,TargetLocation,640,640,0,,250,0.5,Apocalypse - Magic of Skyrim.esp
0393FA:Apocalypse - Magic of Skyrim.esp,WB_D025_Thundercrack_Scroll,Scroll of Thundercrack,Scroll,Aimed,43,43,0,,30,0.5,Apocalypse - Magic of Skyrim.esp
083FAB:Apocalypse - Magic of Skyrim.esp,WB_R100_Transcendence_Scroll,Scroll of Transcendence,Scroll,Self,1264,1264,2,,250,0.5,Apocalypse - Magic of Skyrim.esp
03AF47:Apocalypse - Magic of Skyrim.esp,WB_R075_TreeRings_Scroll,Scroll of Tree Rings,Scroll,Self,329,329,0,,125,0.5,Apocalypse - Magic of Skyrim.esp
039EE3:Apocalypse - Magic of Skyrim.esp,WB_D100_Twister_Scroll,Scroll of Twister,Scroll,Aimed,665,665,0,,250,0.5,Apocalypse - Magic of Skyrim.esp
03A457:Apocalypse - Magic of Skyrim.esp,WB_A050_Undermine_Scroll,Scroll of Undermine,Scroll,Aimed,167,167,0,,60,0.5,Apocalypse - Magic of Skyrim.esp
038915:Apocalypse - Magic of Skyrim.esp,WB_I075_Vanish_Scroll,Scroll of Vanish,ConstantEffect,Self,560,680,3,,125,0.5,Apocalypse - Magic of Skyrim.esp
1A7928:Apocalypse - Magic of Skyrim.esp,WB_I075_HrormirsMisdirection_Scroll,Scroll of Veil of Misdirection,Scroll,TargetActor,301,301,0.5,,10,0.5,Apocalypse - Magic of Skyrim.esp
0896D8:Apocalypse - Magic of Skyrim.esp,WB_D100_Volcano_Scroll,Scroll of Volcano,Scroll,TargetLocation,636,636,2.5,,250,0.5,Apocalypse - Magic of Skyrim.esp
02A04B:Skyrim.esm,01E_RolleWasseratmung,Scroll of Water Breathing,Scroll,Self,40,222,0.5,,20,0.2,Enderal SE - Gameplay Overhaul.esp
03AF35:Apocalypse - Magic of Skyrim.esp,WB_R025_WellingBlood_Scroll,Scroll of Welling Blood,Scroll,Aimed,51,51,0.5,,30,0.5,Apocalypse - Magic of Skyrim.esp
0896E2:Apocalypse - Magic of Skyrim.esp,WB_R000_WildHealing_Scroll,Scroll of Wild Healing,Scroll,Self,80,80,0.5,2.5,15,0.5,Apocalypse - Magic of Skyrim.esp
1A7926:Apocalypse - Magic of Skyrim.esp,WB_R075_Willpower_Scroll,Scroll of Willpower,Scroll,Self,120,120,0.5,,125,0.5,Apocalypse - Magic of Skyrim.esp
001CC6:Enderal SE - Gameplay Overhaul.esp,XionFrostCloak,Scroll of Winter Skin,Scroll,Self,126,316,0.5,,40,0.2,Enderal SE - Gameplay Overhaul.esp
03A453:Apocalypse - Magic of Skyrim.esp,WB_A025_Wither_Scroll,Scroll of Wither,Scroll,Aimed,62,62,0.5,,30,0.5,Apocalypse - Magic of Skyrim.esp
05D1E4:Apocalypse - Magic of Skyrim.esp,WB_X100_Wizardfire_Scroll,Scroll of Wizardfire,Scroll,Aimed,1820,1820,0,,500,0.5,Apocalypse - Magic of Skyrim.esp
03B4BA:Apocalypse - Magic of Skyrim.esp,WB_R100_WormShroud_Scroll,Scroll of Worm Shroud,Scroll,Self,1453,1453,2,,250,0.5,Apocalypse - Magic of Skyrim.esp
05F25C:Apocalypse - Magic of Skyrim.esp,WB_I100_Wyrd_Scroll,Scroll of Wyrd,ConstantEffect,Self,1100,1100,3,,250,0.5,Apocalypse - Magic of Skyrim.esp
04C97D:Skyrim.esm,01E_RolleUntotebannen,Scroll of the Light Herald,Scroll,Self,360,563,3,,30,0.2,Enderal SE - Gameplay Overhaul.esp
1370A5:Skyrim.esm,_01E_TeleportrolleKurmaiCave,Scroll: Teleport in Kurmai's Cave,Scroll,Self,0,0,3,,50,0.2,Enderal SE - Gameplay Overhaul.esp
0EAB75:Skyrim.esm,_01E_TeleportrolleArk,Scroll: Teleport to Ark,Scroll,Self,0,0,3,,45,0.2,Enderal SE - Gameplay Overhaul.esp
136D1E:Skyrim.esm,_01E_TeleportrolleDuenenhaim,Scroll: Teleport to Duneville,Scroll,Self,0,0,3,,45,0.2,Enderal SE - Gameplay Overhaul.esp
10A860:Skyrim.esm,_01E_TeleportrolleNebelhaim,Scroll: Teleport to Fogville,Scroll,Self,0,0,3,,45,0.2,Enderal SE - Gameplay Overhaul.esp
0375D6:Skyrim.esm,_01E_TeleportrolleSchneefelstaverne,Scroll: Teleport to Frostcliff Tavern,Scroll,Self,0,0,3,,45,0.2,Enderal SE - Gameplay Overhaul.esp
0375D2:Skyrim.esm,_01E_TeleportrolleNordwindlager,Scroll: Teleport to Northwind Camp,Scroll,Self,0,0,3,,45,0.2,Enderal SE - Gameplay Overhaul.esp
07B2F8:Skyrim.esm,_01E_TeleportrolleFlusshaim,Scroll: Teleport to Riverville,Scroll,Self,0,0,3,,40,0.2,Enderal SE - Gameplay Overhaul.esp
15031F:Skyrim.esm,_01E_TeleportrolleUnknownPlace,Scroll: Teleport to a Strange Place,Scroll,Self,0,0,3,,50,0.2,Enderal SE - Gameplay Overhaul.esp
12970F:Skyrim.esm,_01E_TeleportrolleBauenkueste,Scroll: Teleport to the Farmers Coast,Scroll,Self,0,0,3,,40,0.2,Enderal SE - Gameplay Overhaul.esp
129711:Skyrim.esm,_01E_TeleportrolleHerzlandGrenze,Scroll: Teleport to the Heartland's Border,Scroll,Self,0,0,3,,40,0.2,Enderal SE - Gameplay Overhaul.esp
129710:Skyrim.esm,_01E_TeleportrolleHerzlandNord,Scroll: Teleport to the Northern Heartland,Scroll,Self,0,0,3,,40,0.2,Enderal SE - Gameplay Overhaul.esp
0F9101:Skyrim.esm,_01E_TeleportrolleSonnentempel,Scroll: Teleport to the Sun Temple,Scroll,Self,0,0,3,,45,0.2,Enderal SE - Gameplay Overhaul.esp
02E68E:Enderal - Forgotten Stories.esm,_01E_FS_TeleportrolleRhalataTemple,Scroll: Teleport to the Temple of the Rhalâta,Scroll,Self,0,0,3,,40,0.2,Enderal SE - Gameplay Overhaul.esp
01E8FC:Enderal - Forgotten Stories.esm,_01E_FS_TeleportrolleUnterstadt,"Scroll: Teleport to the Undercity, Barracks",Scroll,Self,0,0,3,,40,0.2,Enderal SE - Gameplay Overhaul.esp
